City,Country,Longitude,Latitude
Sarajevo,Bosnia and Herzegovina,18.552,44.374
Deire Zor,Syria,40.293,35.475
Rimini,Italy,13.019,44.033
Shiraz,Iran,52.982,29.898
Nantes,France,-1.352,47.255
Genoa,Italy,9.395,44.688
Nouakschott,Mauritania,-15.914,18.163
Yuzhno-sakhalinsk,Russia,143.195,47.481
Urgench,Uzbekistan,61.069,41.973
Harbin,China,126.417,46.039
Irkutsk,Russia,104.648,52.446
Monaco,Monaco,7.694,44.222
Arica,Chile,-69.898,-17.915
Antofagasta,Chile,-70.076,-23.075
Hefei,China,117.497,32.3
Ujung Pandang,Indonesia,119.923,-4.437
Campo Grande,Brazil,-54.455,-20.115
Kuantan,Malaysia,103.348,4.292
Ipoh,Malaysia,101.153,4.946
Banda Aceh,Indonesia,95.7,5.872
Batam,Indonesia,104.197,1.201
Kaliningrad,Russia,20.987,55.483
Rzeszow,Poland,22.031,50.183
Rygge,Norway,11.308,59.631
Palermo,Italy,13.151,38.293
Murcia,Spain,-0.688,38.291
Lodz,Poland,19.663,52.203
Kerry,Ireland,-9.207,52.301
"Doncaster,Sheffield",United Kingdom,-0.341,53.791
Bratislava,Slovakia,17.354,48.283
Turany,Czech Republic,17.157,49.252
Taiz,Yemen,44.231,14.143
Xuzhou,China,117.183,34.266
Kiritimati,Kiribati,-156.917,2.643
Keflavik,Iceland,-22.343,64.641
Taiyuan,China,113.047,38.244
Shijiazhuang,China,115.162,38.467
Bourgas,Bulgaria,27.858,42.949
Milwaukee,United States,-87.828,43.578
Malakal,Sudan,32.087,9.931
Mazar-i-sharif,Afghanistan,67.349,37.178
Kandahar,Afghanistan,66.413,31.842
Bandar Abbas,Iran,56.629,27.363
Ahwaz,Iran,49.269,31.562
Ahmedabad,India,73.057,23.128
Trondheim,Norway,11.54,63.762
Palanga,Lithuania,21.156,56.622
Aktau,Kazakhstan,51.088,43.855
Zihuatanejo,Mexico,-101.101,18.002
Salt Lake City,United States,-111.963,41.313
Mazatlan,Mexico,-105.777,23.268
Memphis,United States,-89.962,35.07
Kano,Nigeria,8.874,12.079
GeorgetownG,Guyana,-57.757,6.83
Tongatapu,Tonga,-174.583,-20.736
Rotorua,New Zealand,176.528,-37.516
HamiltonN,New Zealand,175.553,-37.778
Dunedin,New Zealand,170.33,-45.881
Faleolo,Samoa,-171.348,-13.717
Mudanjiang,China,129.948,44.873
Changchun,China,125.2,43.902
Heraklion,Greece,25.3,35.566
Pardubice,Czech Republic,16.231,50.022
Manzanillo,Mexico,-104.265,19.241
Moncton,Canada,-64.465,46.187
Yap,Micronesia,138.137,9.831
Villahermosa,Mexico,-92.696,18.661
Vera Cruz,Mexico,-95.646,19.243
Torreon,Mexico,-103.018,25.947
Toluca,Mexico,-99.277,19.561
Chuuk,Micronesia,152.405,7.769
Tuxtla Gutierrez,Mexico,-92.377,16.936
Treasure Cay,Bahamas,-76.986,27.242
Tampico,Mexico,-97.777,22.494
Saltillo,Mexico,-100.882,25.915
San Luis Potosi,Mexico,-100.885,22.423
Roatan,Honduras,-86.205,16.528
Rota,Northern Mariana Islands,145.404,14.29
Queretaro,Mexico,-99.643,21.028
Pohnpei,Micronesia,158.348,7.641
Puebla,Mexico,-97.953,19.263
Oaxaca,Mexico,-96.545,17.666
Morelia,Mexico,-100.376,20.416
Merida,Mexico,-89.43,21.561
Majuro,Marshall Islands,171.453,7.107
Kwajalein,Marshall Islands,168.219,9.2
Kosrae,Micronesia,163.597,5.594
Bahias Dehuatulco,Mexico,-95.771,16.292
Governor's Harbor,Bahamas,-75.886,25.474
Great Exuma,Bahamas,-75.797,23.937
North Eleuthera,Bahamas,-76.473,25.791
Durango,Mexico,-104.214,24.206
Chihuahua,Mexico,-105.941,29.171
Ciudad Del Carmen,Mexico,-91.666,19.089
Aguadilla,Puerto Rico,-66.55,18.824
Alice Town,Bahamas,-78.775,26.166
Bermuda,Bermuda,-64.465,32.606
Aguascalientes,Mexico,-101.864,22.175
Acapulco,Mexico,-99.59,17.261
Nanchang,China,116.5,29.441
Muan,South Korea,126.637,35.652
Pyongyang,Korea,126.116,39.373
Dresden,Germany,14.278,51.221
Bern,Switzerland,7.828,47.523
Gaberone,Botswana,26.53,-24.259
Southampton,United Kingdom,-0.929,51.583
Victoria Falls,Zimbabwe,26.398,-17.494
Hewandorra,Saint Lucia,-60.921,14.221
Scarborough,Trinidad and Tobago,-60.721,11.249
Basse Terre,Saint Kitts and Nevis,-62.532,17.518
Norwich,United Kingdom,1.471,53.126
Teesside,United Kingdom,-1.05,54.848
Lugano,Switzerland,9.517,46.007
Humberside,United Kingdom,0.081,53.957
Cardiff,United Kingdom,-2.906,51.661
Craiova,Romania,24.481,44.53
Ancona,Italy,13.603,44.027
Umea,Sweden,20.471,64.319
Tartu-ulenurme,Estonia,27.15,58.512
Skelleftea,Sweden,21.128,65.041
Oulu,Finland,25.59,65.55
Norrkoeping,Sweden,16.417,58.977
Kruunupyy,Finland,23.238,64.201
Cali,Colombia,-75.97,3.905
Fez,Morocco,-4.964,34.545
Mendoza,Argentina,-68.655,-32.72
Zacatecas,Mexico,-102.479,23.495
Tijuana,Mexico,-116.951,32.901
Fresno,United States,-119.531,37.293
Windsor Locks,United States,-72.473,42.564
Tlemcen,Algeria,-1.084,35.027
Setif,Algeria,5.54,36.296
Mulhouse,France,7.883,47.982
Lille,France,3.149,50.936
Constantine,Algeria,7.033,36.46
Biskra,Algeria,6.23,35.322
Batna,Algeria,6.514,36.253
Bejaja,Algeria,5.116,37.186
Strasbourg,France,8.047,48.897
Rotterdam,Netherlands,4.728,52.594
Rennes,France,-1.558,48.115
Aviles,Spain,-5.392,43.939
